post_id,user_id,timestamp,content_type,text_preview,has_media,topic_id,language
P00001,U9999,2023/02/28 00:00,link,,TRUE,,es
P00002,U0511,2023-05-30 16:45:00,link,Duplicate post content,FALSE,T005,de
P00003,U0250,2023-08-22 17:09:00,image,Duplicate post content,TRUE,T007,en
P00004,U0283,2023-08-01 10:59:00,text,Duplicate post content,FALSE,T005,fr
P00005,U0602,2023-10-24 21:31:00,link,Duplicate post content,FALSE,T003,fr
P00006,U0341,2023-10-10 17:24:00,video,Duplicate post content,TRUE,T008,es
P00007,U0586,2023-07-16 07:54:00,text,Duplicate post content,FALSE,T007,de
P00008,U0723,2023-07-15 12:42:00,link,Duplicate post content,TRUE,T003,es
P00009,U0515,2023-10-30 10:55:00,link,Duplicate post content,TRUE,T002,
P00010,U0468,2023-01-08 23:09:00,image,Duplicate post content,TRUE,T007,de
P00011,U0272,2023-06-23 19:44:00,text,Duplicate post content,FALSE,T007,
P00012,U0390,2023-06-12 20:45:00,text,Duplicate post content,TRUE,T008,es
P00013,U0647,2023-12-17 09:14:00,link,Duplicate post content,TRUE,T002,en
P00014,U0455,2023-03-27 22:19:00,text,Duplicate post content,FALSE,T001,en
P00015,U0301,2023-07-03 11:27:00,image,Duplicate post content,FALSE,T003,
P00016,U0699,2023-04-03 05:11:00,link,Duplicate post content,TRUE,T002,de
P00017,U0598,2023-03-15 07:29:00,link,Duplicate post content,FALSE,T005,en
P00018,U0477,2023-05-28 21:34:00,text,Duplicate post content,FALSE,T003,fr
P00019,U0602,2023-06-03 20:27:00,link,Duplicate post content,FALSE,T005,es
P00020,U0394,2023-09-05 03:15:00,video,Duplicate post content,FALSE,T007,fr
P00021,U0023,2023-12-04 12:17:00,text,Sports science innovations improving athlete performance,FALSE,T001,fr
P00022,U0795,2023-04-28 19:51:00,image,Quantum computing milestones achieved this month ??,FALSE,T006,es
P00023,U0644,2023-02-19 20:41:00,link,Political rally draws thousands downtown,TRUE,T001,
P00024,U0374,2023-03-09 02:58:00,link,Infrastructure spending plan announced,TRUE,T005,es
P00025,U0136,2023-10-04 11:33:00,video,Cybersecurity awareness: Update your passwords regularly! #security https://example.com/fakelink,FALSE,T005,fr
P00026,U0765,2023-06-23 03:29:00,link,Programming tip: Always write tests first! #coding #software Quantum computing milestones achieved this month ??,FALSE,T002,en
P00027,U0405,2023-01-08 08:34:00,video,Zero waste lifestyle challenge starts today! ??,FALSE,T002,
P00028,U0391,2023-11-23 11:06:00,text,Incredible game last night! What a finish ?? #sports,FALSE,T004,
P00029,U0227,2023-11-28 02:40:00,link,Supreme Court ruling on digital privacy rights,TRUE,T008,es
P00030,U0047,2023-01-20 09:31:00,image,DIY home improvement project completed! So satisfying ??,TRUE,T002,de
P00031,U0465,2023-07-09 21:47:00,link,The future of electric vehicles is looking bright ? #EV #technology,TRUE,T007,de
P00032,U0631,2023-07-28 08:02:00,link,New programming language release shows promising features,FALSE,T006,es
P00033,U0372,2023-02-20 21:23:00,link,Gardening update: My tomatoes are finally growing! ?? #gardening,FALSE,T006,es
P00034,U0126,2023-08-21 02:42:00,text,Beautiful sunset tonight ?? #nature #photography,FALSE,T004,es
